view,MSE,RMSE,MAE,MAPE(%)
V1,0.8595007061958313,0.9270926092876759,0.6623373031616211,250.81981
V2,1.004474401473999,1.002234703786493,0.8140048980712891,193.72055
V3,0.8905828595161438,0.9437069775709745,0.7119879722595215,192.23349
V4,0.6751658320426941,0.8216847522272116,0.6372946500778198,209.70934
