fusion,acc,f1_macro,auc_macro_ovr
Transformer,0.25,0.1826839826839827,0.5981125608137992
Meta-Fusion,0.25,0.2022675736961451,0.5967107106000294
Concatenation,0.35,0.24220779220779218,0.562077896948253
Attention-like,0.15,0.10714285714285714,0.5474477247039167
